id,category
1,Place values and number sense
2,Addition and subtraction
3,Multiplication
4,Division
5,Number theory
6,Decimals
7,Add and subtract decimals
8,Multiply decimals
9,Divide decimals
10,Fractions and mixed numbers
11,Add and subtract fractions
12,Multiply and divide fractions
13,Mixed operations
14,Problem solving
15,Ratios and rates
16,Percents
17,Money
18,Number sequences
19,Coordinate plane
20,Variable expressions
21,Data and graphs
22,Probability and statistics
23,Time
24,Units of measurement
25,Lines and angles
26,Two-dimensional figures
27,Symmetry and transformations
28,Three-dimensional figures
29,Geometric measurement